SourceRow;WorkerID;Prefix_ASC;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A01_B36;A02_B36;A03_B36;A04_B36;A05_B36;A06_B36;A07_B36;A08_B36;A09_B36;A10_B36;A11_B36;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C01_B36;C02_B36;C03_B36;C04_B36;C05_B36;C06_B36;C07_B36;C08_B36;C09_B36;C10_B36;C11_B36;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;K01_ASC;K02_ASC;K03_ASC;K04_ASC;K05_ASC;K06_ASC;K07_ASC;K08_ASC;K09_ASC;K10_ASC;K11_ASC;PREV01_ASC;PREV02_ASC;PREV03_ASC;PREV04_ASC;PREV05_ASC;PREV06_ASC;PREV07_ASC;PREV08_ASC;PREV09_ASC;PREV10_ASC;PREV11_ASC;CUM01;CUM02;CUM03;CUM04;CUM05;CUM06;CUM07;CUM08;CUM09;CUM10;CUM11
22;IKJKJ00101;32;I;K;J;K;J;0;0;1;0;1;18;20;19;20;19;0;0;1;0;1;73;75;74;75;74;48;48;49;48;49;10;25;27;26;27;26;1G;1H;1I;1G;1H;36;77;79;78;79;78;52;53;54;52;53;10;25;27;26;27;26;1G;1G;1H;1G;1H;36;77;79;78;79;78;52;52;53;52;53;0;0;0;0;0;0;0;1;1;0;0;32;73;75;74;75;74;48;48;49;48;49;;32;73;75;74;75;74;48;48;49;48;32;105;180;254;329;403;451;499;548;596;645
23;N100000101;32;N;1;0;0;0;0;0;1;0;1;23;1;0;0;0;0;0;1;0;1;78;49;48;48;48;48;48;49;48;49;10;2A;1H;1G;1H;1G;1H;1G;1H;1G;1H;36;82;53;52;53;52;53;52;53;52;53;10;2A;1H;1G;1G;1G;1G;1G;1H;1G;1H;36;82;53;52;52;52;52;52;53;52;53;0;0;0;0;1;0;1;0;0;0;0;32;78;49;48;48;48;48;48;49;48;49;;32;78;49;48;48;48;48;48;49;48;32;110;159;207;255;303;351;399;448;496;545
24;U5KTJ00101;32;U;5;K;T;J;0;0;1;0;1;30;5;20;29;19;0;0;1;0;1;85;53;75;84;74;48;48;49;48;49;10;2H;1L;27;2G;26;1G;1H;1I;1G;1H;36;89;57;79;88;78;52;53;54;52;53;10;2H;1L;27;2G;26;1G;1G;1H;1G;1H;36;89;57;79;88;78;52;52;53;52;53;0;0;0;0;0;0;0;1;1;0;0;32;85;53;75;84;74;48;48;49;48;49;;32;85;53;75;84;74;48;48;49;48;32;117;170;245;329;403;451;499;548;596;645
25;YO0QJ00101;32;Y;O;0;Q;J;0;0;1;0;1;34;24;0;26;19;0;0;1;0;1;89;79;48;81;74;48;48;49;48;49;10;2L;2B;1G;2D;26;1G;1H;1I;1G;1H;36;93;83;52;85;78;52;53;54;52;53;10;2L;2B;1G;2D;26;1G;1G;1H;1G;1H;36;93;83;52;85;78;52;52;53;52;53;0;0;0;0;0;0;0;1;1;0;0;32;89;79;48;81;74;48;48;49;48;49;;32;89;79;48;81;74;48;48;49;48;32;121;200;248;329;403;451;499;548;596;645
26;1G80000101;33;1;G;8;0;0;0;0;1;0;1;1;16;8;0;0;0;0;1;0;1;49;71;56;48;48;48;48;49;48;49;12;1I;24;1P;1H;1I;1H;1I;1J;1H;1I;38;54;76;61;53;54;53;54;55;53;54;12;1I;24;1P;1H;1H;1H;1H;1I;1H;1I;38;54;76;61;53;53;53;53;54;53;54;0;0;0;0;0;1;0;1;1;0;0;33;49;71;56;48;48;48;48;49;48;49;;33;49;71;56;48;48;48;48;49;48;33;82;153;209;257;305;353;401;450;498;547
27;1H70000101;33;1;H;7;0;0;0;0;1;0;1;1;17;7;0;0;0;0;1;0;1;49;72;55;48;48;48;48;49;48;49;12;1I;25;1O;1H;1I;1H;1I;1J;1H;1I;38;54;77;60;53;54;53;54;55;53;54;12;1I;25;1O;1H;1H;1H;1H;1I;1H;1I;38;54;77;60;53;53;53;53;54;53;54;0;0;0;0;0;1;0;1;1;0;0;33;49;72;55;48;48;48;48;49;48;49;;33;49;72;55;48;48;48;48;49;48;33;82;154;209;257;305;353;401;450;498;547
28;1L30000101;33;1;L;3;0;0;0;0;1;0;1;1;21;3;0;0;0;0;1;0;1;49;76;51;48;48;48;48;49;48;49;12;1I;29;1K;1H;1I;1H;1I;1J;1H;1I;38;54;81;56;53;54;53;54;55;53;54;12;1I;29;1K;1H;1H;1H;1H;1I;1H;1I;38;54;81;56;53;53;53;53;54;53;54;0;0;0;0;0;1;0;1;1;0;0;33;49;76;51;48;48;48;48;49;48;49;;33;49;76;51;48;48;48;48;49;48;33;82;158;209;257;305;353;401;450;498;547
29;2M10000101;33;2;M;1;0;0;0;0;1;0;1;2;22;1;0;0;0;0;1;0;1;50;77;49;48;48;48;48;49;48;49;12;1J;2A;1I;1H;1I;1H;1I;1J;1H;1I;38;55;82;54;53;54;53;54;55;53;54;12;1J;2A;1I;1H;1H;1H;1H;1I;1H;1I;38;55;82;54;53;53;53;53;54;53;54;0;0;0;0;0;1;0;1;1;0;0;33;50;77;49;48;48;48;48;49;48;49;;33;50;77;49;48;48;48;48;49;48;33;83;160;209;257;305;353;401;450;498;547
30;I700000101;33;I;7;0;0;0;0;0;1;0;1;18;7;0;0;0;0;0;1;0;1;73;55;48;48;48;48;48;49;48;49;12;26;1O;1H;1I;1H;1I;1H;1I;1H;1I;38;78;60;53;54;53;54;53;54;53;54;12;26;1O;1H;1H;1H;1H;1H;1I;1H;1I;38;78;60;53;53;53;53;53;54;53;54;0;0;0;0;1;0;1;0;0;0;0;33;73;55;48;48;48;48;48;49;48;49;;33;73;55;48;48;48;48;48;49;48;33;106;161;209;257;305;353;401;450;498;547
31;KR9TJ00101;33;K;R;9;T;J;0;0;1;0;1;20;27;9;29;19;0;0;1;0;1;75;82;57;84;74;48;48;49;48;49;12;28;2F;1Q;2H;27;1H;1I;1J;1H;1I;38;80;87;62;89;79;53;54;55;53;54;12;28;2F;1Q;2H;27;1H;1H;1I;1H;1I;38;80;87;62;89;79;53;53;54;53;54;0;0;0;0;0;0;0;1;1;0;0;33;75;82;57;84;74;48;48;49;48;49;;33;75;82;57;84;74;48;48;49;48;33;108;190;247;331;405;453;501;550;598;647
