SourceRow;WorkerID;PrefixActual_ASC;PrefixCalc_ASC;PrefixActual_RAW;PrefixCalc_RAW;Prefix_OK;Block1Actual;Block1Calc;Block1_OK;Block1_FirstDiff;Block2Actual;Block2Calc;Block2_OK;Block2_FirstDiff;ALL_OK;Status
390;25A0000101;81;81;1E;1E;PRAVDA;1E0J0M0Y0H0H0H0H0I0H0I;1E0J0M0Y0H0H0H0H0I0H0I;PRAVDA;;3Q2V2Y3A2T2U2T2U2V2T2U;3Q2V2Y3A2T2T2T2T2U2T2U;NEPRAVDA;P17;NEPRAVDA;BLOCK2
391;2F00000101;81;81;1E;1E;PRAVDA;1E0J130H0H0H0H0H0I0H0I;1E0J130H0H0H0H0H0I0H0I;PRAVDA;;3Q2V3F2T2U2T2U2T2U2T2U;3Q2V3F2T2T2T2T2T2U2T2U;NEPRAVDA;P16;NEPRAVDA;BLOCK2
393;D400000101;81;81;1E;1E;PRAVDA;1E110L0H0H0H0H0H0I0H0I;1E110L0H0H0H0H0H0I0H0I;PRAVDA;;3Q3D2X2T2U2T2U2T2U2T2U;3Q3D2X2T2T2T2T2T2U2T2U;NEPRAVDA;P16;NEPRAVDA;BLOCK2
394;E300000101;81;81;1E;1E;PRAVDA;1E120K0H0H0H0H0H0I0H0I;1E120K0H0H0H0H0H0I0H0I;PRAVDA;;3Q3E2W2T2U2T2U2T2U2T2U;3Q3E2W2T2T2T2T2T2U2T2U;NEPRAVDA;P16;NEPRAVDA;BLOCK2
395;G100000101;81;81;1E;1E;PRAVDA;1E140I0H0H0H0H0H0I0H0I;1E140I0H0H0H0H0H0I0H0I;PRAVDA;;3Q3G2U2T2U2T2U2T2U2T2U;3Q3G2U2T2T2T2T2T2U2T2U;NEPRAVDA;P16;NEPRAVDA;BLOCK2
396;15C0000101;82;82;1F;1F;PRAVDA;1F0I0M100H0H0H0H0I0H0I;1F0I0M100H0H0H0H0I0H0I;PRAVDA;;3S2V2Z3D2U2V2U2V2W2U2V;3S2V2Z3D2U2U2U2U2V2U2V;NEPRAVDA;P17;NEPRAVDA;BLOCK2
397;17A0000101;82;82;1F;1F;PRAVDA;1F0I0O0Y0H0H0H0H0I0H0I;1F0I0O0Y0H0H0H0H0I0H0I;PRAVDA;;3S2V313B2U2V2U2V2W2U2V;3S2V313B2U2U2U2U2V2U2V;NEPRAVDA;P17;NEPRAVDA;BLOCK2
398;1A70000101;82;82;1F;1F;PRAVDA;1F0I0Y0O0H0H0H0H0I0H0I;1F0I0Y0O0H0H0H0H0I0H0I;PRAVDA;;3S2V3B312U2V2U2V2W2U2V;3S2V3B312U2U2U2U2V2U2V;NEPRAVDA;P17;NEPRAVDA;BLOCK2
399;24C0000101;82;82;1F;1F;PRAVDA;1F0J0L100H0H0H0H0I0H0I;1F0J0L100H0H0H0H0I0H0I;PRAVDA;;3S2W2Y3D2U2V2U2V2W2U2V;3S2W2Y3D2U2U2U2U2V2U2V;NEPRAVDA;P17;NEPRAVDA;BLOCK2
401;5EO1G00101;82;82;1F;1F;PRAVDA;1F0M121C0I140H0H0I0H0I;1F0M121C0I140H0H0I0H0I;PRAVDA;;3S2Z3F3P2V3H2U2V2W2U2V;3S2Z3F3P2V3H2U2U2V2U2V;NEPRAVDA;P19;NEPRAVDA;BLOCK2
402;A800000101;82;82;1F;1F;PRAVDA;1F0Y0P0H0H0H0H0H0I0H0I;1F0Y0P0H0H0H0H0H0I0H0I;PRAVDA;;3S3B322U2V2U2V2U2V2U2V;3S3B322U2U2U2U2U2V2U2V;NEPRAVDA;P16;NEPRAVDA;BLOCK2
403;B700000101;82;82;1F;1F;PRAVDA;1F0Z0O0H0H0H0H0H0I0H0I;1F0Z0O0H0H0H0H0H0I0H0I;PRAVDA;;3S3C312U2V2U2V2U2V2U2V;3S3C312U2U2U2U2U2V2U2V;NEPRAVDA;P16;NEPRAVDA;BLOCK2
404;F300000101;82;82;1F;1F;PRAVDA;1F130K0H0H0H0H0H0I0H0I;1F130K0H0H0H0H0H0I0H0I;PRAVDA;;3S3G2X2U2V2U2V2U2V2U2V;3S3G2X2U2U2U2U2U2V2U2V;NEPRAVDA;P16;NEPRAVDA;BLOCK2
405;H100000101;82;82;1F;1F;PRAVDA;1F150I0H0H0H0H0H0I0H0I;1F150I0H0H0H0H0H0I0H0I;PRAVDA;;3S3I2V2U2V2U2V2U2V2U2V;3S3I2V2U2U2U2U2U2V2U2V;NEPRAVDA;P16;NEPRAVDA;BLOCK2
406;TYZTJ00101;82;82;1F;1F;PRAVDA;1F1H1M1N1H170H0H0I0H0I;1F1H1M1N1H170H0H0I0H0I;PRAVDA;;3S3U3Z403U3K2U2V2W2U2V;3S3U3Z403U3K2U2U2V2U2V;NEPRAVDA;P19;NEPRAVDA;BLOCK2
407;17B0000101;83;83;1G;1G;PRAVDA;1G0I0O0Z0H0H0H0H0I0H0I;1G0I0O0Z0H0H0H0H0I0H0I;PRAVDA;;3U2W323D2V2W2V2W2X2V2W;3U2W323D2V2V2V2V2W2V2W;NEPRAVDA;P17;NEPRAVDA;BLOCK2
408;1B70000101;83;83;1G;1G;PRAVDA;1G0I0Z0O0H0H0H0H0I0H0I;1G0I0Z0O0H0H0H0H0I0H0I;PRAVDA;;3U2W3D322V2W2V2W2X2V2W;3U2W3D322V2V2V2V2W2V2W;NEPRAVDA;P17;NEPRAVDA;BLOCK2
409;1D50000101;83;83;1G;1G;PRAVDA;1G0I110M0H0H0H0H0I0H0I;1G0I110M0H0H0H0H0I0H0I;PRAVDA;;3U2W3F302V2W2V2W2X2V2W;3U2W3F302V2V2V2V2W2V2W;NEPRAVDA;P17;NEPRAVDA;BLOCK2
410;1E40000101;83;83;1G;1G;PRAVDA;1G0I120L0H0H0H0H0I0H0I;1G0I120L0H0H0H0H0I0H0I;PRAVDA;;3U2W3G2Z2V2W2V2W2X2V2W;3U2W3G2Z2V2V2V2V2W2V2W;NEPRAVDA;P17;NEPRAVDA;BLOCK2
411;1EEAF00101;83;83;1G;1G;PRAVDA;1G0I12120Y130H0H0I0H0I;1G0I12120Y130H0H0I0H0I;PRAVDA;;3U2W3G3H3C3H2V2W2X2V2W;3U2W3G3G3C3H2V2V2W2V2W;NEPRAVDA;P15;NEPRAVDA;BLOCK2
