SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
115;3O50000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0K1C0M270I0I0H652B;0K1C0M270I0I0H652B;OK;;;;18;18;;;;;
116;6YPRJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;0N1M1D1F170L0I0I0H630N0;0N1M1D1F170L0I0I0H630N0;OK;;;;23;23;;;;;
117;8YNRJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;0P1M1B1F170L0I0I0H630N0;0P1M1B1F170L0I0I0H630N0;OK;;;;23;23;;;;;
118;CXDRJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;101L111F170L0I0I0H630N0;101L111F170L0I0I0H630N0;OK;;;;23;23;;;;;
119;N900000101;40;40;2;30;0I0I0H;222;35;0;NORMAL;1B0Q0U0I0I0H660Z0;1B0Q0U0I0I0H660Z0;OK;;;;17;17;;;;;
120;OGLOJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;1C14191C170L0I0I0H630N0;1C14191C170L0I0I0H630N0;OK;;;;23;23;;;;;
121;PDQLJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;1D111E19170L0I0I0H630N0;1D111E19170L0I0I0H630N0;OK;;;;23;23;;;;;
122;S3YRJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;1G0K1M1F170L0I0I0H630N0;1G0K1M1F170L0I0I0H630N0;OK;;;;23;23;;;;;
123;SFLLJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;1G131919170L0I0I0H630N0;1G131919170L0I0I0H630N0;OK;;;;23;23;;;;;
124;T300000101;40;40;2;30;0I0I0H;222;35;0;NORMAL;1H0K0U0I0I0H660Z0;1H0K0U0I0I0H660Z0;OK;;;;17;17;;;;;
